Data,PÃ¡ginas afetadas
2025-06-09,4455
2025-06-10,4547
2025-06-11,4547
2025-06-12,4547
2025-06-13,4547
2025-06-14,4603
2025-06-15,4603
2025-06-16,4603
2025-06-17,4629
2025-06-18,4629
2025-06-19,4629
2025-06-20,4629
2025-06-21,4690
2025-06-22,4690
2025-06-23,4690
2025-06-24,4747
2025-06-25,4747
2025-06-26,4747
2025-06-27,4747
2025-06-28,4760
2025-06-29,4760
2025-06-30,4760
2025-07-01,4784
2025-07-02,4784
2025-07-03,4784
2025-07-04,4784
2025-07-05,4818
2025-07-06,4818
2025-07-07,4818
2025-07-08,4847
2025-07-09,4847
2025-07-10,4847
2025-07-11,4847
2025-07-12,4841
2025-07-13,4841
2025-07-14,4841
2025-07-15,4832
2025-07-16,4832
2025-07-17,4832
2025-07-18,4832
2025-07-19,4831
2025-07-20,4831
2025-07-21,4831
2025-07-22,4834
2025-07-23,4834
2025-07-24,4834
2025-07-25,4834
2025-07-26,4834
2025-07-27,4834
2025-07-28,4834
2025-07-29,4834
2025-07-30,4834
2025-07-31,4834
2025-08-01,4834
2025-08-02,4834
2025-08-03,4834
2025-08-04,4834
2025-08-05,4834
2025-08-06,4834
2025-08-07,4834
2025-08-08,4834
2025-08-09,4832
2025-08-10,4832
2025-08-11,4832
2025-08-12,4830
2025-08-13,4830
2025-08-14,4830
2025-08-15,4830
2025-08-16,4830
2025-08-17,4830
2025-08-18,4830
2025-08-19,4876
2025-08-20,4876
2025-08-21,4876
2025-08-22,4876
2025-08-23,4930
2025-08-24,4930
2025-08-25,4930
2025-08-26,4967
2025-08-27,4967
2025-08-28,4967
2025-08-29,4967
2025-08-30,4989
2025-08-31,4989
2025-09-01,4989
2025-09-02,5043
2025-09-03,5043
2025-09-04,5043
2025-09-05,5043